真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97.5%缓存 / 2.15%输入 / 0.35%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月           服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  ----------------  --------------------------  ----------  -------  ------
1     Step Plan Max (¥699)               CNY 699           Step 3.5 Flash              2517.31     0.00041  medium
2     Step Plan Pro (¥199)               CNY 199           Step 3.5 Flash              503.461     0.00058  medium
3     OpenCode Go                        USD 10            Muse Spark 1.3 Contributor  125         0.0008   medium
4     OpenCode Go                        USD 10            Muse Spark 1.2 Contributor  125         0.0008   medium
5     Step Plan Max (¥699)               CNY 699           Step 3.7 Flash              1247.56     0.00083  medium
6     OpenCode Go                        USD 10            MiMo V2.5                   89.286      0.00112  medium
7     Step Plan Pro (¥199)               CNY 199           Step 3.7 Flash              249.513     0.00118  medium
8     ChatGPT Pro 20x                    USD 200           GPT 5.6 Luna                1502.22     0.00133  medium
9     Step Plan Plus (¥99)               CNY 99            Step 3.5 Flash              100.692     0.00145  medium
10    Command Code GOAT                  USD 10            DeepSeek V4.1 Flash         48.485      0.00206  medium
11    Command Code GOAT                  USD 10            MiMo V2.5                   44.643      0.00224  medium
12    Command Code GOAT                  USD 10            Muse Spark 1.3 Contributor  41.667      0.0024   medium
13    Command Code GOAT                  USD 10            Muse Spark 1.2 Contributor  41.667      0.0024   medium
14    ChatGPT Plus                       USD 20            GPT 5.6 Luna                75.11       0.00266  high
15    ChatGPT Pro 5x                     USD 100           GPT 5.6 Luna                375.56      0.00266  medium
16    OpenCode Go                        USD 10            LongCat 2.0                 36.364      0.00275  medium
17    Ollama Pro                         USD 20            DeepSeek V4.1 Flash         72.727      0.00275  medium
18    Ollama Max                         USD 100           DeepSeek V4.1 Flash         363.636     0.00275  medium
19    GLM Coding Pro (v2 ¥149) 闲时      CNY 149           GLM 5.3 Flash               76.99       0.00285  high
20    Step Plan Mini (¥49)               CNY 49            Step 3.5 Flash              25.173      0.00287  medium
21    Step Plan Plus (¥99)               CNY 99            Step 3.7 Flash              49.903      0.00293  medium
22    GLM Coding Pro (v2 ¥149) 中间值    CNY 149           GLM 5.3 Flash               57.74       0.00381  high
23    GLM Coding Max (v2 ¥469) 闲时      CNY 469           GLM 5.3 Flash               179.65      0.00385  high
24    Claude Pro                         USD 20            Claude Sonnet 5             46.95       0.00426  medium
25    Google AI Ultra 20x                USD 199.99        Gemini 3.8 Flash            448.2       0.00446  low
26    Ollama Pro                         USD 20            DeepSeek V4 Flash           43.274      0.00462  medium
27    Ollama Max                         USD 100           DeepSeek V4 Flash           216.372     0.00462  medium
28    Claude Max 20x (9/14+)             USD 200           Claude Sonnet 5             392.5       0.0051   medium
29    Claude Max 5x (9/14+)              USD 100           Claude Sonnet 5             196.25      0.0051   low
30    GLM Coding Max (v2 ¥469) 中间值    CNY 469           GLM 5.3 Flash               134.73      0.00514  high
31    OpenCode Go                        USD 10            DeepSeek V4.1 Flash         18.182      0.0055   medium
32    Command Code GOAT                  USD 10            Hy3                         17.873      0.0056   medium
33    GLM Coding Lite (v2 ¥49) 闲时      CNY 49            GLM 5.3 Flash               12.83       0.00563  high
34    GLM Coding Pro (v2 ¥149) 忙时      CNY 149           GLM 5.3 Flash               38.5        0.00571  high
35    Step Plan Mini (¥49)               CNY 49            Step 3.7 Flash              12.476      0.00579  medium
36    OpenCode Go                        USD 10            Hy3                         15.32       0.00653  medium
37    OpenCode Go                        USD 10            Qwen3.8 Flash               14.656      0.00682  medium
38    GLM Coding Lite (v2 ¥49) 中间值    CNY 49            GLM 5.3 Flash               9.62        0.00751  high
39    OpenCode Go                        USD 10            Omen Alpha                  13.155      0.0076   medium
40    GLM Coding Max (v2 ¥469) 忙时      CNY 469           GLM 5.3 Flash               89.82       0.0077   high
41    Command Code GOAT                  USD 10            MiMo V2.5 Pro               12.573      0.00795  medium
42    DeepSeek V4.1 Flash API 闲时       按量计费          DeepSeek V4.1 Flash         -           0.00825  high
43    Command Code GOAT                  USD 10            Qwen3.8 27B                 12.048      0.0083   medium
44    ChatGPT Pro 20x                    USD 200           GPT 5.6 Terra               240.24      0.00833  medium
45    Command Code GOAT                  USD 10            GLM 5.3 Flash               11.687      0.00856  medium
46    GLM Coding Pro (v2 ¥149) 闲时      CNY 149           GLM 5.3                     25.4        0.00865  high
47    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078          GLM 5.3 Flash               179.65      0.00885  high
48    OpenCode Go                        USD 10            Qwen3.7 Plus                11.278      0.00887  medium
49    Google AI Pro                      USD 19.99         Gemini 3.8 Flash            22.41       0.00892  high
50    Google AI Ultra 5x                 USD 99.99         Gemini 3.8 Flash            112.05      0.00892  low
51    MiniMax Token Plan Ultra           CNY 469           MiniMax M3                  71          0.00974  high
52    MiniMax Token Plan Max             CNY 119           MiniMax M3                  18          0.00975  high
53    Cursor Ultra (Standard)            USD 200           Composer 2.5                198.926     0.01005  medium
54    GLM Coding Pro (v3 ¥538) 闲时      CNY 538           GLM 5.3 Flash               76.99       0.01031  high
55    Command Code GOAT                  USD 10            Qwen3.8 Flash               9.669       0.01034  medium
56    OpenCode Go                        USD 10            MiMo V2.5 Pro               9.415       0.01062  medium
57    Claude Pro                         USD 20            Claude Opus 5               18.78       0.01065  medium
58    Claude Pro                         USD 20            Claude Opus 4.8             18.78       0.01065  low
59    MiniMax Token Plan Max (Global)    USD 55            MiniMax M3                  51          0.01078  high
60    GLM Coding Lite (v2 ¥49) 忙时      CNY 49            GLM 5.3 Flash               6.42        0.01126  high
61    Cursor Pro+ (Standard)             USD 60            Composer 2.5                53.047      0.01131  low
62    Command Code GOAT                  USD 10            Step 3.5 Flash              8.811       0.01135  medium
63    Ollama Pro                         USD 20            GLM 5.3 Flash               17.531      0.01141  medium
64    Ollama Max                         USD 100           GLM 5.3 Flash               87.655      0.01141  medium
65    OpenCode Go                        USD 10            MiniMax M3                  8.677       0.01152  medium
66    OpenCode Go                        USD 10            MiniMax M2.7                8.677       0.01152  medium
67    OpenCode Go                        USD 10            MiniMax M2.5                8.677       0.01152  medium
68    GLM Coding Pro (v2 ¥149) 中间值    CNY 149           GLM 5.3                     19.05       0.01154  high
69    OpenCode Go                        USD 10            Qwen3.6 Plus                8.571       0.01167  medium
70    GLM Coding Max (v2 ¥469) 闲时      CNY 469           GLM 5.3                     59.26       0.01168  high
71    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078          GLM 5.3 Flash               134.73      0.0118   high
72    MiniMax Token Plan Plus            CNY 49            MiniMax M3                  6           0.01205  high
73    MiniMax Token Plan Plus            CNY 49            MiniMax M2.7                6           0.01205  medium
74    Claude Max 20x (9/14+)             USD 200           Claude Opus 5               157         0.01274  medium
75    Claude Max 5x (9/14+)              USD 100           Claude Opus 5               78.5        0.01274  medium
76    Claude Max 20x (9/14+)             USD 200           Claude Opus 4.8             157         0.01274  low
77    MiniMax Token Plan Plus (Global)   USD 22            MiniMax M3                  17          0.01294  high
78    MiniMax Token Plan Plus (Global)   USD 22            MiniMax M2.7                17          0.01294  medium
79    MiniMax Token Plan Ultra (Global)  USD 132           MiniMax M3                  98          0.01347  high
80    GLM Coding Lite (v3 ¥118) 闲时     CNY 118           GLM 5.3 Flash               12.83       0.01357  high
81    GLM Coding Pro (v3 ¥538) 中间值    CNY 538           GLM 5.3 Flash               57.74       0.01375  high
82    DeepSeek V4 Flash API 闲时         按量计费          DeepSeek V4 Flash           -           0.01386  high
83    Command Code GOAT                  USD 10            GPT 5.6 Luna                7.143       0.014    medium
84    Ollama Pro                         USD 20            DeepSeek V4 Pro             14.094      0.01419  medium
85    Ollama Max                         USD 100           DeepSeek V4 Pro             70.472      0.01419  medium
86    Command Code GOAT                  USD 10            MiniMax M3                  6.797       0.01471  medium
87    GLM Coding Max (v2 ¥469) 中间值    CNY 469           GLM 5.3                     44.45       0.01557  high
88    ChatGPT Pro 20x                    USD 200           GPT 5.6 Sol                 123.2       0.01623  high
89    DeepSeek V4.1 Flash API 忙时       按量计费          DeepSeek V4.1 Flash         -           0.0165   high
90    Cursor Pro (Standard)              USD 20            Composer 2.5                12.084      0.01655  medium
91    ChatGPT Plus                       USD 20            GPT 5.6 Terra               12.012      0.01665  medium
92    ChatGPT Pro 5x                     USD 100           GPT 5.6 Terra               60.06       0.01665  medium
93    GLM Coding Lite (v2 ¥49) 闲时      CNY 49            GLM 5.3                     4.23        0.01709  high
94    GLM Coding Pro (v2 ¥149) 忙时      CNY 149           GLM 5.3                     12.7        0.01731  high
95    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078          GLM 5.3 Flash               89.82       0.01771  high
96    GLM Coding Lite (v3 ¥118) 中间值   CNY 118           GLM 5.3 Flash               9.62        0.0181   high
97    OpenCode Go                        USD 10            GPT 5.6 Luna                5.357       0.01867  medium
98    GLM Coding Pro (v3 ¥538) 忙时      CNY 538           GLM 5.3 Flash               38.5        0.02061  high
99    ChatGPT Pro 20x                    USD 200           GPT 5.5                     96.096      0.02081  medium
100   Kimi 会员 699 †                    ¥699（国际 $99）  Kimi K2.7 Code              47.04       0.02105  medium
101   Command Code GOAT                  USD 10            DeepSeek V4 Pro             4.698       0.02129  medium
102   OpenCode Go                        USD 10            Hy4 Preview                 4.436       0.02254  medium
103   Kimi 会员 699 †                    ¥699（国际 $99）  Kimi K3                     43.53       0.02274  medium
104   GLM Coding Lite (v2 ¥49) 中间值    CNY 49            GLM 5.3                     3.17        0.0228   high
105   OpenCode Go                        USD 10            GLM 5.3 Flash               4.383       0.02282  medium
106   Ollama Pro                         USD 20            MiniMax M2.7                8.677       0.02305  medium
107   Ollama Max                         USD 100           MiniMax M2.7                43.384      0.02305  medium
108   GLM Coding Max (v2 ¥469) 忙时      CNY 469           GLM 5.3                     29.63       0.02335  high
109   Command Code GOAT                  USD 10            Step 3.7 Flash              4.226       0.02366  medium
110   Kimi 会员 199 †                    ¥199（国际 $39）  Kimi K2.7 Code              15.68       0.02487  medium
111   Cursor Ultra                       USD 200           Grok 4.6                    77.37       0.02585  medium
112   Cursor Ultra                       USD 200           Grok 4.5                    77.37       0.02585  medium
113   GLM Coding Max (v3 ¥1078) 闲时     CNY 1078          GLM 5.3                     59.26       0.02684  high
114   Kimi 会员 199 †                    ¥199（国际 $39）  Kimi K3                     14.51       0.02688  medium
115   GLM Coding Lite (v3 ¥118) 忙时     CNY 118           GLM 5.3 Flash               6.42        0.02711  high
116   DeepSeek V4 Flash API 忙时         按量计费          DeepSeek V4 Flash           -           0.02773  high
117   Command Code GOAT                  USD 10            Qwen3.7 Plus                3.579       0.02794  medium
118   GPT-5.6 Luna API                   按量计费          GPT 5.6 Luna                -           0.028    high
119   Cursor Ultra (Composer Fast)       USD 200           Composer 2.5                70.587      0.02833  medium
120   OpenCode Go                        USD 10            DeepSeek V4 Pro             3.524       0.02838  medium
121   Cursor Pro+                        USD 60            Grok 4.6                    20.632      0.02908  medium
122   GLM Coding Pro (v3 ¥538) 闲时      CNY 538           GLM 5.3                     25.4        0.03125  high
123   OpenCode Go                        USD 10            Kimi K2.6                   3.151       0.03174  medium
124   Cursor Pro+ (Composer Fast)        USD 60            Composer 2.5                18.823      0.03188  low
125   ChatGPT Plus                       USD 20            GPT 5.6 Sol                 6.16        0.03247  medium
126   ChatGPT Pro 5x                     USD 100           GPT 5.6 Sol                 30.8        0.03247  medium
127   Command Code GOAT                  USD 10            Hy4 Preview                 2.957       0.03382  medium
128   GLM Coding Lite (v2 ¥49) 忙时      CNY 49            GLM 5.3                     2.12        0.0341   high
129   GLM Coding Max (v3 ¥1078) 中间值   CNY 1078          GLM 5.3                     44.45       0.03578  high
130   Command Code GOAT                  USD 10            Qwen3.6 Plus                2.779       0.03598  medium
131   OpenCode Go                        USD 10            Kimi K2.7 Code              2.731       0.03662  medium
132   Command Code GOAT                  USD 10            Kimi K2.7 Code              2.731       0.03662  medium
133   Command Code GOAT                  USD 10            DeepSeek V4 Flash Fast      2.624       0.03811  medium
134   GLM Coding Lite (v3 ¥118) 闲时     CNY 118           GLM 5.3                     4.23        0.04115  high
135   ChatGPT Plus                       USD 20            GPT 5.5                     4.805       0.04162  medium
136   ChatGPT Pro 5x                     USD 100           GPT 5.5                     24.024      0.04163  medium
137   GLM Coding Pro (v3 ¥538) 中间值    CNY 538           GLM 5.3                     19.05       0.04166  high
